"Lines","File"
"6632","__tests__\tutorials\tutorial-01-fundamentals.test.ts"
"3247","types\effects.ts"
"3015","__tests__\tutorials\tutorial06-textAnimators.test.ts"
"2519","stores\compositorStore.ts"
"2460","services\comfyui\workflowTemplates.ts"
"2457","components\properties\ParticleProperties.vue"
"2084","engine\particles\GPUParticleSystem.ts"
"2058","components\canvas\ThreeCanvas.vue"
"2008","services\particleSystem.ts"
"1940","engine\layers\ParticleLayer.ts"
"1904","__tests__\tutorials\tutorial-02-neon-motion-trails.test.ts"
"1893","types\project.ts"
"1817","engine\layers\BaseLayer.ts"
"1809","components\layout\WorkspaceLayout.vue"
"1783","composables\useKeyboardShortcuts.ts"
"1758","services\ai\actionExecutor.ts"
"1735","components\curve-editor\CurveEditor.vue"
"1637","services\export\wanMoveExport.ts"
"1626","components\panels\AudioPanel.vue"
"1585","services\physics\PhysicsEngine.ts"
"1565","services\index.ts"
"1557","services\effects\colorRenderer.ts"
"1556","schemas\layers\layer-data-schema.ts"
"1556","engine\LatticeEngine.ts"
"1547","components\panels\PropertiesPanel.vue"
"1546","services\depthflow.ts"
"1519","engine\layers\SplineLayer.ts"
"1496","components\properties\TextProperties.vue"
"1463","services\shapeOperations.ts"
"1451","services\audioFeatures.ts"
"1426","components\dialogs\PreferencesDialog.vue"
"1413","components\dialogs\TemplateBuilderDialog.vue"
"1407","__tests__\engine\MotionEngine.test.ts"
"1373","components\properties\ShapeProperties.vue"
"1363","services\ai\security\promptInjectionDetector.ts"
"1323","components\panels\ProjectPanel.vue"
"1320","engine\MotionEngine.ts"
"1317","engine\layers\TextLayer.ts"
"1316","services\webgpuRenderer.ts"
"1314","services\ai\toolDefinitions.ts"
"1303","components\timeline\EnhancedLayerTrack.vue"
"1252","engine\core\LayerManager.ts"
"1219","services\effects\blurRenderer.ts"
"1212","services\audioReactiveMapping.ts"
"1186","components\panels\CameraProperties.vue"
"1157","components\panels\AssetsPanel.vue"
"1136","engine\layers\LightLayer.ts"
"1136","services\particleGPU.ts"
"1123","__tests__\export\cameraExportFormats.property.test.ts"
"1115","engine\core\RenderPipeline.ts"
"1099","services\effects\distortRenderer.ts"
"1097","components\timeline\TimelinePanel.vue"
"1093","services\modelExport.ts"
"1089","engine\layers\VideoLayer.ts"
"1089","components\curve-editor\CurveEditorCanvas.vue"
"1081","components\properties\CameraProperties.vue"
"1068","engine\layers\PointCloudLayer.ts"
"1041","__tests__\export\cameraExportFormats.test.ts"
"1037","services\svgExtrusion.ts"
"1026","services\effects\layerStyleRenderer.ts"
"1026","__tests__\engine\layerEvaluation.property.test.ts"
"1020","engine\core\SceneManager.ts"
"1020","components\timeline\PropertyTrack.vue"
"1010","config\exportPresets.ts"
"1006","engine\core\CameraController.ts"
"992","services\effects\stylizeRenderer.ts"
"992","services\glsl\ShaderEffects.ts"
"984","__tests__\export\export-format-contracts.test.ts"
"968","workers\audioWorker.ts"
"965","components\export\ComfyUIExportDialog.vue"
"961","engine\layers\ShapeLayer.ts"
"953","__tests__\stores\projectActions.test.ts"
"952","services\math3d.ts"
"949","__tests__\security\attackSurface.test.ts"
"941","components\dialogs\ExportDialog.vue"
"927","services\export\exportPipeline.ts"
"920","__tests__\export\modelExport.test.ts"
"919","components\canvas\SplineEditor.vue"
"917","stores\assetStore.ts"
"916","services\effects\timeRenderer.ts"
"915","engine\layers\ProceduralMatteLayer.ts"
"914","components\properties\DepthflowProperties.vue"
"905","services\export\depthRenderer.ts"
"899","components\dialogs\DecomposeDialog.vue"
"892","services\textAnimator.ts"
"886","__tests__\export\wanMoveFlowGenerators.property.test.ts"
"885","__tests__\export\wanMoveExport.test.ts"
"882","services\export\cameraExportFormats.ts"
"859","services\propertyDriver.ts"
"852","services\preprocessorService.ts"
"851","services\gpuEffectDispatcher.ts"
"844","composables\useSplineInteraction.ts"
"844","components\dialogs\PathSuggestionDialog.vue"
"843","types\physics.ts"
"838","__tests__\export\workflowTemplates.contract.test.ts"
"834","__tests__\export\allTargets.comprehensive.test.ts"
"829","components\viewport\ViewportRenderer.vue"
"829","services\blendModes.ts"
"829","services\templateBuilder.ts"
"824","components\dialogs\CompositionSettingsDialog.vue"
"823","services\visionAuthoring\MotionIntentTranslator.ts"
"818","engine\layers\ModelLayer.ts"
"814","__tests__\services\serialization.property.test.ts"
"807","types\presets.ts"
