0.0 0.04567130882525078 131
2865.919112394623 -68775746930471.65 23977697540.068687 182672810.4940597
66552.22706698021 2789673138547.5596 -24950277871.607338 174313323.24771786
124409.69954601733 2949951360070.757 -24033576289.327633 157933425.21823525
176674.76503601333 3448221948010.3423 -23178832245.934017 142251161.4557185
223597.43581463915 3909614544883.3906 -22137516171.855392 127346576.60700166
265469.9532506214 4174128375360.9653 -20866703038.825603 113336314.87461926
302623.6623452437 4311612495382.341 -19459383753.303127 100308608.02328902
335412.3259966162 4317372895063.922 -17958208937.894917 88312317.70686777
364201.35906377836 4108907311623.6074 -16380338961.980745 77364854.8701856
389356.6646072567 3791724608838.634 -14837244886.129791 67441581.30175015
411226.4779537858 3394074434066.9126 -13376678248.518375 58478606.01759132
430132.152776716 2761942409227.044 -11972997954.022017 50389043.20999514
446361.34137138264 1911744251198.9187 -10713675913.049763 43047725.918973826
460148.12200832216 144923805444.85562 -9431196032.83477 36274481.324723706
471654.5175401956 -4255153025687.99 -7846645439.826978 29751218.6086324
480892.81045110687 16183340182545.996 -16455738135.788012 22728369.76982072
487502.37089671433 12615600675273.639 -9569801798.796824 17155356.56144665
492854.75835225376 -7365057941688.893 1794425870.5438464 15082768.859937709
498019.1616530821 1634992752980.2957 -3911039247.699983 13648368.993191712
502371.38240185735 1324173688441.047 -3232659305.4574804 11517496.765132604
506049.9883958943 1035205974395.9274 -2670260227.8103743 9746302.40653929
509167.20510587783 832523065734.4545 -2238687666.9747314 8261883.620455784
511810.76760670525 661082483811.7002 -1888669851.6963441 7004481.737676594
514051.23332881305 574089073357.5325 -1627863705.1944983 5928623.161945995
515944.6298866712 499823798904.25714 -1401824074.3008907 5002896.011027686
517539.61208820634 444867130611.7511 -1208407661.7241056 4207699.771950021
518878.54066115466 406474467884.38745 -1039925926.8812222 3527327.90235551
519999.1186829606 362189813336.0734 -882775094.1604321 2950434.0690243356
520935.7954021463 325598225952.8425 -743745563.5801452 2466969.090229305
521719.2668842157 263531673181.62695 -608591687.0169505 2067102.6995882532
522377.128009267 220169467878.2479 -501597449.60574734 1738843.2939390526
522931.7134349975 161335115314.54492 -404326688.94292635 1469376.3216722058
523401.6828148792 125483618200.90453 -335580347.93214434 1246280.0954889397
523800.709513224 96362264029.45522 -281679497.25170773 1058045.8323063576
524139.42843256675 43447698684.34943 -229636228.74163055 896776.2755199583
524426.0064021772 -5014311230.337273 -197593200.60830873 752500.2033902837
524664.1256719576 -48395395721.296394 -184217164.34713122 612895.5950628172
524853.3612724023 -88428852534.4842 -187132436.82232288 466799.1958930872
524989.6116297441 -109363635473.9185 -210663295.57307214 304072.21676846535
525065.3822818254 -132829773433.18872 -240610250.81206554 117304.14969171837
525071.4045159586 -135030549571.18463 -286152214.7586356 -98901.80506008437
524996.4208332411 -133867553245.22784 -333634180.3668449 -347665.38446727354
524828.987216083 -109696264326.83804 -388732201.487758 -629112.7275758177
524557.7582123707 -85998246972.8045 -435238242.96996385 -940164.5274519859
524173.4369186814 -51786822291.110664 -477147655.4731343 -1275002.4124584591
523668.73486989236 -9260392877.010242 -510028645.1291821 -1626587.6623523352
523039.26306435105 30016783229.837112 -526950586.3710807 -1985593.0194700344
522284.23667151865 81563663177.79436 -534456751.9913158 -2342075.499146505
521406.1996534568 124397260066.28122 -520954058.7216774 -2684995.7078144355
520412.06463844894 166562069081.1355 -492284870.4207157 -3002881.9795504324
519312.37445874186 180187286419.8454 -438965586.5528542 -3285403.0112161045
518121.24546988925 195626200522.6318 -381528382.04483974 -3525777.691233741
516853.9487826271 199935496539.5327 -314828432.20383096 -3720473.3609706867
515527.0639760723 204287998254.8657 -246641169.9322022 -3867089.684291
514157.53584787605 194580211727.74878 -172034547.22930202 -3964573.845472502
512762.6780759641 184251601860.11252 -100595966.52624133 -4013576.76343767
511358.9815905201 148358854488.19482 -23845733.244486775 -4016533.802506052
509962.0619583868 123658735259.93193 36488845.63784791 -3979063.0310171046
508584.492788616 78666273815.51134 95286715.0151959 -3908529.3314791275
507236.7543225008 52298518038.9235 131905353.20345001 -3813403.629549782
505925.51363074576 10254796448.783237 164796449.09173125 -3702359.547143466
504655.2030818946 -11818902794.853495 176067324.74535176 -3583712.295625732
503426.69178350345 -46809284871.54356 184145735.32717305 -3465255.1565769343
502238.97806793556 -65523955738.9911 174350943.01795602 -3353924.099162247
501088.09478641505 -90104973457.1279 160076763.1205266 -3256246.8126498726
499968.4886970688 -97084257324.44188 131096159.75740866 -3177485.7590661217
498872.52328427543 -118324617444.94487 104654250.96571715 -3121476.99909182
497791.9705288789 -120007696640.61053 63988818.02499138 -3091650.5464242506
496716.8022631228 -128222531794.94553 25013808.090653837 -3090792.676853331
495636.8476760638 -113211613659.80696 -24922521.11440452 -3120106.452395354
494541.2397386189 -106892103433.65681 -66595367.474904284 -3178765.8294006507
493420.38361686206 -85963257606.49641 -111158344.94076437 -3264178.1578173754
492265.2200637133 -74151464664.52234 -145246242.10873127 -3373031.4811044843
491068.46357944503 -50528918941.087875 -179333776.63935438 -3501346.272111157
489823.82972939685 -34543608899.51971 -202523027.73202834 -3644815.592485193
488527.0361208881 -6042649378.043297 -224502630.43515813 -3798625.2252983893
487175.155137397 12669749261.705061 -233133130.00007328 -3957367.9969518087
485767.6746564003 43410711620.556145 -239433404.45966977 -4115305.264347836
484305.6684558976 56787834044.18979 -228962615.7013202 -4266426.118714018
482792.8156510888 78930774782.59462 -216884160.57623225 -4405368.13821515
481233.92908598395 83785872972.64046 -191058717.04876468 -4527813.964941729
479635.6982480943 98080232163.67961 -166831477.45599338 -4630482.067653871
478005.22410092124 81994769902.69588 -127029212.66730672 -4711044.886828113
476350.81907380506 90669973934.98479 -101467376.51615645 -4769720.125709251
474679.43233189406 70511282655.59708 -62828520.0604625 -4807408.479119507
472998.7482753471 79075932738.91927 -41231697.25975447 -4825505.730739468
471314.7428285869 55119251065.163414 -5310824.344377774 -4825421.101753021
469634.1177814533 55205331741.486404 13875717.03318971 -4809025.447767238
467961.5445633431 26436811409.080612 43152020.32565264 -4779220.169254039
466301.70189910417 24280117906.47331 53120743.938004196 -4739491.531346123
464656.8303434535 -6039892472.867149 72156311.27265857 -4693598.401699343
463028.9876684826 -1008622391.5595763 68296506.05077726 -4645488.226964898
461417.66198531946 -22488469417.553234 75433510.80123937 -4598234.778223913
459822.767811883 -3874359177.65778 61103674.09093566 -4553837.3310252
458242.3992206598 -15632601302.532194 63852279.074328385 -4512644.207141826
456676.22785458755 5016905352.855613 51203032.071444675 -4473822.0962190805
455122.92883003916 -3790412343.6739626 56022653.14134788 -4436290.291528738
453582.92733637575 16478251560.866455 47634794.35217165 -4398609.41026525
452055.90213114023 7654109222.710855 56456118.36576268 -4359386.3599254005
450543.249767937 27510519410.46695 52201957.63482232 -4317230.092991067
449045.6189426416 23106928060.253407 63328363.806078985 -4270799.670155837
447565.3412081436 43242537164.33672 64364272.39894982 -4218216.847303756
446104.3749071441 37434880071.25549 81464933.23764585 -4157569.4445219566
444666.3849018354 49412833541.724495 90340132.90578459 -4087115.9419077467
443254.54384779336 29246085230.02272 114598076.19402593 -4006106.3583097034
441873.0395479856 32960130501.98609 123499463.07847835 -3915536.0173570616
440524.3506467994 3438118994.094529 145282983.71814483 -3817404.696113203
439211.2705588688 5074269645.265967 145911214.65465575 -3714849.2760259067
437934.090669324 -25799488907.308064 158443989.4445971 -3611259.2004467756
436693.2410292256 -20651929308.56138 147654735.93657765 -3510188.213555607
435486.53509778116 -46297073641.17459 149395550.17623502 -3414763.258230518
434312.2225966795 -35934903519.00579 129642101.17073317 -3327475.7548603937
433166.3797877237 -56212781003.11739 124183499.09955283 -3250183.303452511
432045.9611403337 -53607467946.71278 103677397.28042503 -3184091.128710782
430946.20254700474 -52977206087.74233 84768175.0824447 -3131347.278217928
429862.5607039581 43334643087.20949 32720644.188304905 -3091558.4774775286
428790.54572294065 -16704524327.744091 68760470.32484801 -3052941.7015572516
427733.8302722435 2878517139.4845786 56109320.52378929 -3011088.1139980787
426690.998621346 -10881409999.066803 61910080.27183351 -2970915.036443034
425662.2947283813 19076609944.35318 47671987.011143744 -2931714.686684915
424646.7963794665 3174958250.4080477 59866666.31994616 -2891518.2347762343
423646.120342514 36492755377.113625 49357789.1963641 -2848617.171011818
422660.535699433 19695992063.470055 67936430.91601796 -2800894.614774248
421693.135259486 56098694137.823784 62111871.27967564 -2746342.483598111
420745.5882840389 33351809557.01823 89600274.14352486 -2682577.7340075085
419822.6492115837 67271470396.629234 89402300.77486664 -2607940.5420489307
418927.14465207234 39580394536.268585 122509657.85070208 -2521072.890037218
418064.77595155535 63264504932.32338 128051673.8975912 -2421217.7120149573
417238.89760079596 33279563583.20176 160561782.74418297 -2308862.0427028183
416454.87135022436 45278725236.805824 167980895.78580353 -2184771.7293412085
415715.5176868506 -572380676344.741 399104956.2587331 -2051132.889895988
415024.6740424981 0.0 0.0 -1981561.7230601823
-0.2617383488101737 0.0 131
256554.35567117375 990926007.1478521 -1979872.8007934687 356052.7077718217
257265.74992935383 57885198.264673695 1864218.020531514 360008.4988995612
257992.95154994627 108253449.79093711 1879236.9001299066 368151.15971395525
258736.88392410314 74667227.31849994 2162632.942984813 376957.048443665
259499.27392295393 161077641.26772407 2139170.024828357 386493.1591943632
260281.31264645368 134946833.71223864 2513213.004052031 396970.36691177404
261085.569623138 200572860.04094148 2651716.161782969 408629.3086671176
261914.19753998 150247748.93739733 3153010.976188979 421627.6499519485
262770.3959576592 173802015.2272158 3406144.8918621866 436026.4722438519
263656.56164505833 88214729.73733096 3924405.405363846 451718.9059384049
264575.4671113486 59667173.69172768 4157696.7632579445 468457.3143147942
265528.5195677576 -130189156.84239352 4656245.3891007295 485786.0694146706
266516.6708317086 721102334.9991777 2695244.4396680444 502833.2997253643
267537.84411122155 -193703597.41399375 5963793.51384684 522239.46409425756
268603.54251133517 -99343943.66947624 5388242.371013721 543751.0119447341
269710.6760506151 -107361524.57212557 5205772.055033766 564092.7097209749
270857.6599833691 -94897377.3851942 4966360.043802182 583609.2362418179
272042.7816665586 -181194127.0427377 4949175.966701846 602318.3422649663
273264.5272866136 -172718279.35752627 4570214.852165996 619925.2869604456
274520.0064145693 -260957994.6474316 4401426.456220315 636119.4081482794
275806.46382913017 -241054314.29600117 3840264.08172966 650582.2873012442
277119.73669920093 -338363545.0922434 3553061.022151014 663041.125967422
278455.9796994195 -362851227.46021175 2925936.212679088 673186.9200562163
279809.79521669896 -485079634.86706984 2445171.1775126033 680533.4545071627
281175.39500770636 -509164588.02789736 1524102.5759853947 684495.0365419495
282545.0410278936 -584211322.2926496 656733.9482527032 684487.5810831557
283910.61102684797 -575366214.4579452 -528194.3782571717 680115.3529832857
285262.7856002645 -598581551.720681 -1631393.3010904412 671114.0743804355
286592.38644198695 -506114951.04026544 -3012109.3496231656 657426.3791083479
287889.8649122045 -422123119.06034243 -4191144.273358949 639328.719224428
289147.1474086545 -290723264.7483845 -5297084.648007544 617525.5193752158
290357.500176165 -163547932.20606497 -6132047.158121665 592876.6263257333
291516.2855647254 12468162.553085117 -6810496.98814616 566414.2760074564
292620.8946394429 165377106.3919075 -7091098.0431029955 539348.8130369096
293671.52629384 323245432.65978616 -7076095.480421728 512993.3109836544
294670.81864200055 430516220.2882192 -6644577.564579213 488588.3972597515
295623.92813119234 539008043.2052746 -6001171.961185952 467192.51108952437
296537.72240427614 577070504.1466434 -5000281.353968336 449666.97997304564
297420.79977779696 620023499.2285285 -3933113.1486766483 436596.85075704014
298282.36574493063 575804208.902682 -2605954.286485605 428305.5383280228
299132.310989831 525262774.531919 -1354514.0234715596 424787.9876168412
299979.8208055906 423995756.55250776 -102705.82978995422 425665.9124232048
300833.27424269245 317201791.0883193 957813.448119032 430333.2911828486
301699.434928831 138011859.74173945 1949605.431272697 437959.54140384303
302583.3629024284 -12316121.708139114 2525709.20172841 447403.0111833008
303487.2597440954 -188009471.81245112 2852137.339083969 457348.26018918067
304410.92898568214 -314902426.7128696 2730026.3755605174 466493.80649294954
305351.3714790822 -458657310.25085914 2388073.1285870844 473631.7211351509
306303.5638655911 -610165125.5337901 1774387.6198024824 477681.5739824405
307260.1895925358 -762286306.6075221 859214.5991500823 477464.67201846547
308211.5152376415 -881474130.7242349 -425697.8812277707 471768.92384462646
309145.38072455174 -966366682.4434834 -2017269.9971158109 459511.2599402259
310047.7246794192 -1003860719.9499377 -3873160.0149846226 439876.98845718056
310903.13151292386 -1006812906.6347121 -5872977.929540081 412377.5403395547
311695.5875266692 -945295162.2877251 -8007505.4148173975 376851.45366824407
312409.0319286466 -810729697.0093747 -10165069.82400954 333532.52300683677
313028.38526478066 -681827722.9691443 -12042456.404699016 283203.51539882715
313540.7146843371 -449024225.02542114 -13869892.019446852 226916.19671914913
313935.1435952777 -271747888.1635995 -15121242.209731216 166114.5005073492
314204.5091129817 -19201556.130067535 -16168783.457709195 102435.47146755984
314344.4762847664 203707325.9957924 -16652520.758005485 37594.9679866361
314354.7388052625 425219790.82899594 -16688095.4728119 -26508.985759810213
314238.54623650067 602582902.81344 -16192877.168519177 -88102.25324836835
314002.681732107 794011855.2011744 -15371390.480800059 -145592.51733682436
313656.75776189216 810909095.6110963 -13818713.411244981 -197507.5547050707
313213.44049170945 848064829.972366 -12272752.135215573 -243015.7241415536
312685.66563407966 792860500.9649736 -10468017.950463781 -281901.2453796482
312086.96161395067 678076486.6652277 -8654541.792204076 -314236.16867341474
311429.97623064433 542798391.2059797 -7029457.1714219265 -340699.089977972
310725.5262360581 278758342.28152144 -5417391.819694379 -362288.2608963994
309982.2704107919 50276080.88140099 -4403923.742922541 -380597.7653071142
309204.655539076 -230037921.66311535 -3743403.8759842296 -397593.75948348263
308393.4836305715 -419145306.49089324 -3825183.197565941 -415307.3655599737
307545.0850946429 -628285457.6180844 -4244774.057157574 -435612.52058732975
306652.7736785171 -657989559.9131196 -5440741.198919497 -460099.034559446
305706.5269023567 -651674227.9449419 -6768024.141725069 -489720.37723267573
304695.8484431648 -450592957.72446316 -8471831.897668684 -524569.9169205765
303610.3427208257 -311817158.5380134 -9649392.243273018 -563819.7233509148
302442.8218261193 -81428582.91076706 -10732720.743851822 -606113.0821270942
301188.31161688385 161502518.50302526 -11380792.256796114 -649976.2836602739
299845.51313526416 337442123.6005004 -11409637.594252784 -693519.8288702831
298417.002687485 408827637.89324737 -10878055.780434428 -735071.5797644405
296908.1631880148 384836913.7866022 -10013283.540704804 -773644.21084529
295325.516301024 220448423.3657406 -8915929.720690595 -809048.5214165456
293675.20098797086 -37869617.49926263 -7959353.050359016 -842036.5240604823
291960.73386674235 -531722565.68987507 -7048297.141503289 -874295.6694384374
290181.5108369678 -1096717816.5633636 -6981818.227912094 -908828.6351505412
288329.0498008537 -1757219313.6217716 -7853379.595784477 -949862.3587090465
286385.8557932206 -2297935112.503697 -10283956.857385835 -1002289.0410730296
284323.8974551898 -3030394493.6257935 -13411781.537036398 -1070903.959273764
282106.5178690283 -3411510049.9701576 -18705047.90788839 -1160789.6472691724
279685.3758430955 -3910225560.5366497 -24524819.1534365 -1276391.5125124122
277006.0505878021 -3886700161.5743623 -32384464.044808216 -1421221.853503361
274006.1657479977 -3808051260.4712534 -40307242.03046594 -1597177.63612435
270623.7202483254 -3532076319.5295444 -48467137.2553157 -1803850.9790736802
