0.0 0.0023794467925755338 239
99380.82806974121 -9.351876085355133e+18 93105822409474.05 27805001328.624424
376203.0926260334 2.228052635089434e+17 -95324036926695.12 26878054255.3932
634568.2756736452 3.3371230292934054e+17 -94209995627930.9 25046244307.334076
874916.1108950651 4.8020477946176826e+17 -92346064182618.11 23269595732.747536
1097905.2207013895 5.79883518035327e+17 -88557606159700.23 21573621672.07584
1304483.3484838423 6.231054951208573e+17 -83214687405293.88 19982722329.648754
1495794.965924906 6.221936240246565e+17 -77002067654011.73 18511061858.084656
1673069.8486126023 5.953342753901966e+17 -70540197302521.36 17162833985.846495
1837535.9724448123 5.532166055584717e+17 -64193824974144.73 15935286061.956686
1990368.303080355 5.061473950529769e+17 -58217472841659.664 14821581164.625156
2132658.681759166 4.5652285450597664e+17 -52684293973169.01 13812879194.074572
2265406.0528257447 4.101917646377881e+17 -47677958387073.82 12899595978.239407
2389511.420469978 3.653211107535213e+17 -43147427792223.445 12072220506.712532
2505784.3487584786 3.262297331062648e+17 -39121160016501.35 11321712968.799444
2614945.8439852134 2.886780710854526e+17 -35499409079952.55 10639751145.65545
2717639.760786359 2.571532805692047e+17 -32311519238894.0 10018738268.391562
2814435.8409590884 2.263208693444997e+17 -29444378524885.953 9451827559.428167
2905841.60823622 2.0102313331163357e+17 -26939302861627.75 8932838245.50425
2992303.7347821943 1.7516770083585587e+17 -24680535181008.08 8456206771.751714
3074218.96455756 1.5410542330211536e+17 -22726900065360.56 8016862895.643509
3151933.0126362257 1.3087833372106982e+17 -20961405174146.37 7610156188.369507
3225750.025088227 1.110698095609733e+17 -19461190275954.816 7231696739.40826
3295928.3064560075 8.662696516529078e+16 -18112047389729.285 6877218908.813363
3362687.066715137 6.2559633122897784e+16 -17009992199577.326 6542336552.436169
3426197.274871438 2.8075237980833356e+16 -16043836961943.484 6222241398.047725
3486582.400080956 -1.5620555990893632e+16 -15329295741107.867 5911129866.5961275
3543897.85229043 -8.921697877375256e+16 -14752097036983.81 5601252828.7277975
3598112.802404981 -2.127610869293162e+17 -14410341480889.447 5280984416.430704
3649051.1697073122 7.872400123794691e+16 -19430537899310.312 4930784289.723776
3696293.0439369064 3.721326815279354e+18 -54911960536355.305 4567298563.084539
3739993.7966250223 -2.3524583857259715e+18 42606649798648.72 4580469450.621034
3787497.925466366 -1.900361452757737e+16 -4045572090606.129 4729320983.7126875
3834162.5635351087 -1136513208667864.8 -4412651197552.911 4643115963.4078045
3879950.204852868 8639940110674490.0 -4521298993376.994 4554914677.082205
3924858.606370577 1.4153612315156176e+16 -4490174356799.116 4467457121.698184
3968904.820076244 1.7080389838777284e+16 -4378401737401.2646 4382258836.701925
4012116.779870378 1.834843712099794e+16 -4220976516567.3613 4300156429.646959
4054528.1960101062 1.8800955344281236e+16 -4042807534053.593 4221565686.6857686
4096175.2814003476 1.8601826240726388e+16 -3853645651216.483 4146657148.268702
4137095.1420465778 1.81500154486809e+16 -3663950607182.919 4075455930.030442
4177324.4909484135 1.7313172933535878e+16 -3474920405161.5415 4007897511.5661025
4216899.149401117 1.6480057530497352e+16 -3294258783487.3403 3943854163.0597396
4255853.28708798 1.5399917954394264e+16 -3119432194858.4844 3883160360.2261567
4294219.429436235 1.451482094506505e+16 -2957301121122.19 3825626463.4585543
