0.0 0.0006932016959655698 129
0.0 -1.5192428199796726e+19 81638891425825.06 25751726395.11166
138380.9334196336 5.359221129295892e+17 -84518752802516.66 25313027030.823463
272047.02740758355 5.6529995426748326e+17 -81796757855584.66 24451103688.219795
401164.60078248574 6.917950080716536e+17 -79438771024577.52 23620979437.53695
525909.0895233738 7.8918501976439e+17 -76244642717790.61 22827155293.300285
646495.186261326 8.216943098055287e+17 -72178527220590.56 22076096202.03504
763167.8077799593 8.094464807993407e+17 -67697208577450.766 21371553159.984024
876181.9598414695 7.624743139612177e+17 -63095108895288.586 20714111240.84084
985788.8471996546 6.893095747359653e+17 -58604671617155.7 20102060397.06122
1092225.0972003092 6.165586578293777e+17 -54509620258758.64 19531931533.143738
1195704.6311416489 5.241359050903144e+17 -50699797652396.26 18999511161.636692
1296418.7927005158 4.18794234775399e+17 -47317201351268.88 18500029697.131668
1394530.242947309 2.4530931435183206e+17 -44134496584883.86 18027776457.600933
1490168.9510710142 -9.75264246787431e+16 -40974007061795.62 17574699994.881996
1583411.0467075927 -1.1547268053157716e+18 -35817048814900.61 17125890938.195827
1674226.2633699093 5.369164719998707e+18 -77079306562700.0 16640921585.821909
1762256.241524985 -8.491440456339058e+17 -14812203677485.697 16277649121.508715
1849167.2552669991 -2.9674188376594534e+17 -22343631646589.254 16044897609.496939
1934695.7800443214 2.8019802096707997e+17 -27038497518835.477 15779057283.62584
2018749.7245654073 2.4913251896276646e+17 -25365874247393.258 15512739234.115387
2101416.045876266 2.2711247944877344e+17 -23908793523358.547 15261706231.097277
2182772.06011153 2.0989863137301555e+17 -22595867751195.188 15024425366.664228
2262888.2496759524 1.9809473020108493e+17 -21404514483295.15 14799763715.827784
2341829.754804577 1.8889128371548333e+17 -20290565276707.375 14586883356.698053
2419658.0524932398 1.7946880315714083e+17 -19224895216801.465 14385177677.221958
2496431.7635273105 1.740037811043205e+17 -18231124354189.094 14194108831.68806
2572206.5845063566 1.6825955940130595e+17 -17265220320138.936 14013246925.819729
2647036.5160073503 1.6311133216389126e+17 -16333386430281.457 13842268279.422777
2720973.7759374618 1.5596761022074474e+17 -15418494242268.395 13680858360.128656
2794068.984495814 1.4968242053470083e+17 -14546603420015.592 13528662223.34125
2866370.5448888647 1.4142412842141278e+17 -13697884273739.27 13385292093.326668
2937924.9097685055 1.3519107564930189e+17 -12904425293701.38 13250328009.81681
3008775.968896696 1.3077922031266723e+17 -12154247088110.982 13123351518.058737
3078965.6776610734 1.2096091657075725e+17 -11398724280954.443 13004055233.71869
3148534.6222679163 1.0889089265591766e+17 -10683861695213.72 12892028244.093363
3217520.341897377 9.467664391916072e+16 -10022336944861.264 12786638497.788334
3285956.6299014906 8.048755912229426e+16 -9437329907818.824 12687127005.289127
3353872.8683624463 6.269737175036435e+16 -8909219050876.525 12592673586.687635
3421294.0359019977 4.84011978205507e+16 -8495482179218.743 12502354802.610886
3488239.5901102475 3.2158802517285236e+16 -8148109711104.558 12415244121.360296
3554724.5518826726 2.0532150561673916e+16 -7912821716536.718 12330459705.567108
3620758.901427057 8245606141352961.0 -7736465321026.133 12247196803.472422
3686349.010719745 2181528363695732.0 -7659569994193.984 12164764893.198475
3751497.438713687 -4911280244708895.0 -7609732892503.685 12082634078.787447
3816204.8624274484 -6087843938924753.0 -7629801976587.2295 12000424439.556643
3880469.757687444 -8095795450014670.0 -7651725917287.133 11917897187.58325
3944290.2351836655 -4265754680415301.0 -7715811265296.572 11834960366.217701
4007663.782455621 -2814245276388049.5 -7746533878936.522 11751666590.44615
4070589.075663033 3878540500662103.5 -7797621398703.014 11668168371.287453
4133065.2414290826 8388167369236995.0 -7801012640102.624 11584700884.914333
