-1502640.7257701748 0.0 89
1383909.0401376516 1.9320827479221282e-10 -4.302907760202903e-06 -0.9231200717324171
1368026.7444421244 8.486752858163734e-11 -1.4967547570269516e-06 -0.9031916741581987
1352759.4033674872 -2.5103870100030847e-10 6.821573446204697e-06 -0.881156889191023
1338618.6381526345 -2.5231157098319943e-10 6.524874815620617e-06 -0.8654917228824911
1324651.6556153991 -2.976016486459566e-10 7.647081345253445e-06 -0.860933758699261
1310863.5488279557 -2.0130025755887014e-10 4.771860888190288e-06 -0.8572126489666634
1296782.1455382998 -2.2163002089482084e-11 -3.6139158743345025e-08 -0.8682258155244966
1282006.3977799737 1.0306355684135403e-10 -3.2421741884107437e-06 -0.8883992289854395
1266578.8374458852 1.428171029975901e-10 -4.09991079366562e-06 -0.9097417187636546
1250737.760768685 1.5615197821543386e-10 -4.176695551512551e-06 -0.9260516091052285
1234663.6041431187 1.641454725734953e-10 -4.193929823512454e-06 -0.9335507448110827
1218496.3932284277 1.8044972010151096e-10 -4.356779973391101e-06 -0.934796051429374
1202340.2042807352 2.4243247585659456e-11 -2.76843735472639e-07 -0.9275974785217032
1186716.777374695 -1.3007774488340012e-10 3.58796813861574e-06 -0.916213663504278
1171644.526361921 -2.476623371479616e-10 6.225458250795991e-06 -0.9062963527591951
1156925.6398268729 -1.8034594597433194e-10 4.3898936312351274e-06 -0.9078729727831908
1141980.873983225 -3.2821978490553576e-11 5.416890504406546e-07 -0.9138646456059156
1126547.992504381 3.1370853361786827e-11 -1.089246638252705e-06 -0.923641631982785
1110794.077716623 1.8435655372678546e-10 -4.94186481585202e-06 -0.9335950922835711
1094510.186006172 2.532450093830582e-10 -6.378559944692059e-06 -0.9428122006033729
1077992.6821721278 1.4837148149590242e-10 -3.4777695056559633e-06 -0.9416312733531403
1061817.2720135057 -1.3749446871894731e-10 3.6600498149889107e-06 -0.9321832618790264
1046460.2489369409 -1.7913792355606026e-10 4.568199793011089e-06 -0.9261745007272852
1031263.1285418796 -2.6585285973465167e-10 6.518752617468312e-06 -0.9251122100404181
1016222.6210006279 -3.242954240709976e-10 7.707389209768089e-06 -0.9323410551580981
1001117.6217426641 2.6275854012229565e-11 -1.3552670660539356e-06 -0.949411185614706
984828.272207385 2.3955203778347055e-10 -6.626786881025821e-06 -0.9727044943654244
967669.4189631145 3.727022209180994e-10 -9.609045526623716e-06 -0.9916152916544931
949981.9940818504 3.752711919844059e-10 -9.306965215259382e-06 -0.9973628301185753
932296.0037428039 2.3562220176106674e-10 -5.446819840935938e-06 -0.9907130576732849
