-3240348.0456169317 0.0 89
1427132.423138916 -1.665190486018334e-10 8.932684760710777e-06 -0.32143838307872163
1419233.7449417447 -1.0055172892726375e-11 7.879410097537227e-08 -0.33318771641824657
1406722.0765114743 7.812583077839156e-11 -4.680665581237787e-06 -0.3674367469096202
1390910.2373572036 5.4457414155361565e-11 -3.2228405629913765e-06 -0.3975836525194354
1374790.9652227515 4.4700088882711965e-11 -2.6055621789875933e-06 -0.4156989586369447
1358359.4829527468 5.1316209473098454e-11 -2.794717410536311e-06 -0.4276681321568518
1341560.7902468373 2.1654869426778613e-11 -1.0047016206187432e-06 -0.4271005545160743
1325724.0424430117 2.0296506661170433e-11 -8.980756558943734e-07 -0.41414445873164896
1310434.7885600573 -1.0154427496953271e-10 5.5961509969362945e-06 -0.39882602309237236
1298431.5442036854 -5.2574484169018896e-11 2.778030343601567e-06 -0.3951448884561523
1285190.0804983876 -4.2093558733168995e-11 2.1964536384353277e-06 -0.40193136602596485
1271436.4402095512 1.0504346965295757e-11 -7.45744333696842e-07 -0.40938674157904936
1256049.7445226747 1.3750423038040997e-11 -9.839961764783152e-07 -0.4219166618117231
1240047.696459765 5.78155353836591e-12 -5.835273669310867e-07 -0.4388865989967366
1223574.0570078378 1.9512651102105006e-12 -3.197540158257063e-07 -0.45838560472950046
1206555.2831854606 8.686927018098907e-12 -5.73917331712745e-07 -0.47390944522958484
1188959.4755769991 3.7231410534612365e-11 -2.0484847496818255e-06 -0.48115483404172715
1170522.8424420715 4.617014011807257e-11 -2.514780183304499e-06 -0.48226021790966767
1151859.256509018 2.0642055890830697e-11 -1.0807251428460737e-06 -0.48177296002655967
1133882.3186066914 -2.255160894577245e-11 1.3216025869786608e-06 -0.47838032627389193
1117128.7484029063 -3.632988656970272e-11 2.070639581977224e-06 -0.4718267828700315
1100941.7180035943 -3.800095785540827e-11 2.131974308236076e-06 -0.4655230501336117
1084984.8508752454 3.553702551614242e-11 -1.9258976198058735e-06 -0.4613984939821058
1067348.238289071 4.3318430335883205e-11 -2.329955952084369e-06 -0.4603155618888464
1049590.9909925228 -1.4860700696076196e-11 8.472903678419649e-07 -0.4577104326095071
1033332.4219840423 -4.425951342680657e-11 2.348271514170148e-06 -0.45511023509751813
1017739.3361904976 -3.746257207539669e-11 1.9260639708641e-06 -0.46012410363053835
1001732.0706778549 -1.1258462082300315e-11 4.708193368781376e-07 -0.4688522741222374
984742.6566485664 4.272480118185929e-11 -2.397446119218335e-06 -0.47934041670113814
966174.6319531653 5.2076514651504524e-11 -2.8723036167426594e-06 -0.48401040057479505
947258.4548392035 4.4181613200004876e-11 -2.3861131969028845e-06 -0.48606888530549325
928530.788542004 2.3868039299479522e-11 -1.1293831341654352e-06 -0.4841203144624695
910559.5798241862 1.3579557796536553e-11 -5.064274877375336e-07 -0.47144198101651824
893379.1992504678 -2.0579784485681164e-11 1.369665204511847e-06 -0.4543163722416685
877660.6338034698 -2.4946402737016458e-11 1.488076234723513e-06 -0.43642167673380433
862539.8064607868 -2.016874663144752e-11 1.1486718553404132e-06 -0.42726946781390346
847532.8705711723 -2.2382334513593458e-11 1.2013451288844691e-06 -0.42383222227075357
832614.0694324247 -2.6550730689006795e-11 1.41447778084862e-06 -0.42536228702562634
817720.9087705449 8.057061615770928e-12 -5.109401040949459e-07 -0.42794923915890726
801851.5212664137 4.866373489529737e-11 -2.6407858661731737e-06 -0.4331136228909377
784930.6006430268 3.2880260403060564e-11 -1.7270949913825136e-06 -0.43188537896536355
768503.8199970113 1.4024947346056415e-11 -6.734516159871558e-07 -0.4268914736239007
752745.5452123614 -3.705747648647103e-11 2.0127716986746487e-06 -0.4201568413756552
738327.9120105488 -6.355862811339273e-11 3.4110820854809245e-06 -0.4209602816691357
724455.5903265673 -4.952488483757043e-11 2.538720821133504e-06 -0.4253307703135083
709945.064460339 -1.5886150317361106e-11 6.048426536369148e-07 -0.43741561387076056
694054.5253322722 3.688749639095315e-11 -2.251048594663799e-06 -0.4565476072805155
676228.6911524748 5.074975583276661e-11 -2.9203455400076943e-06 -0.473770692995627
657557.6104512088 4.678051634256424e-11 -2.6220920284218408e-06 -0.4846035801695093
638695.9148168813 4.671858094280929e-12 -2.489272590614897e-07 -0.489503135708723
620769.3884376675 -1.1072150215640564e-11 6.42985876184241e-07 -0.48905057243443445
603281.7974950665 -1.498695093784825e-11 8.702467071389255e-07 -0.4862611874738716
586008.0782356003 1.0955763346549934e-11 -5.141276922651459e-07 -0.4824914439041534
568288.567702398 2.443060971804377e-11 -1.228089758369607e-06 -0.4763606244763904
550496.1849388698 2.0443164663109267e-11 -9.93903969576718e-07 -0.4686326098232896
533103.155060478 8.89269487063596e-12 -3.352182107289291e-07 -0.45970886909226377
516350.7113998443 -4.37321299114015e-13 2.2533240433954875e-07 -0.4487546690774682
500289.85799178766 -2.2968624412021765e-11 1.4342085801160964e-06 -0.43408578474919246
485278.12275790964 -1.4285301539288927e-11 8.929679260352197e-07 -0.42099098415739006
470444.769081865 4.4741530420036725e-13 6.065972399759817e-08 -0.4127764936127849
455518.237293795 -2.244232221454884e-11 1.230033644992558e-06 -0.40658020247630133
441262.6882472384 -5.438030956642766e-11 2.9017705907245386e-06 -0.4062598150462738
427693.42172013846 -1.3302783673969844e-11 5.746096782888178e-07 -0.41121717705836297
412841.32824502536 5.93302515292917e-12 -4.643453402285032e-07 -0.42227732417315544
397137.70066699694 1.2261864016618472e-11 -8.05589855724674e-07 -0.4324955153376516
380915.14305896265 6.333681089135699e-11 -3.4240935950695525e-06 -0.4423940496362189
363326.15755805303 7.732360378691041e-11 -4.168195496157272e-06 -0.4398531216796537
345518.3526271943 -2.0461972765231467e-11 1.317308936977377e-06 -0.4358738192710836
330407.5349428029 -4.691167897175742e-11 2.621701316318454e-06 -0.4213230364114637
316279.03933144076 -3.296294847696502e-11 1.7850591029674801e-06 -0.41697352778971913
301873.06601873226 -7.27384149229606e-11 3.910080074184183e-06 -0.41807549840565444
288324.197922264 -2.229885260293556e-11 1.0569224252605496e-06 -0.42261594915634904
273262.2656627378 5.947778879049558e-11 -3.442448324309989e-06 -0.4343304306441022
255756.28918096866 5.5352458752151536e-11 -3.139868846341261e-06 -0.4484722699330972
237937.4252412122 3.208917337257708e-11 -1.7263470407877797e-06 -0.4569865022744289
220559.56478286034 1.1795008567651154e-11 -5.248426627164311e-07 -0.4550840619016837
203864.21346925525 1.50702804687212e-12 6.891426251402887e-08 -0.4463960326558229
187775.72886076753 -2.3220570056049575e-11 1.4229991913481345e-06 -0.43538489355142446
172689.67690533673 -1.512524073155469e-11 9.164904968801972e-07 -0.4241082411317468
157733.47262287332 -1.512567602687298e-11 8.35469312573343e-07 -0.41752111152677834
142909.67480500494 -2.188815967500859e-11 1.1812586757822929e-06 -0.4168354171523787
128242.83998844444 -1.6964490624137802e-11 8.715921129004173e-07 -0.4178629204257419
113365.73602714248 1.1536343749984016e-11 -7.155654399903303e-07 -0.42185932214531424
97614.74405883368 6.4371521501280926e-12 -4.15121548078561e-07 -0.428087753621773
81789.14784785663 -1.1931088574437267e-11 5.699085884429269e-07 -0.43271685543716426
66214.25443681187 -1.007920322279803e-11 4.3719627704836025e-07 -0.43866447925325736
50336.273428847664 -1.6707437374881886e-12 -3.278598783338866e-08 -0.4469113683758169
33940.84977237895 -1.2163452034680512e-11 4.7603988957242893e-07 -0.4559428125509619
17384.692277207134 1.3722446725229686e-12 -2.653368157181085e-07 -0.4696496990378561
0.0 0.0 0.0 -0.4835136523771888
